"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Est.Error","Q2.5","Q97.5"
"none",TRUE,TRUE,TRUE,1,1,3.50106627435515,0.481245434126943,2.55820028376429,4.4459547065229
"lemmatization",TRUE,TRUE,TRUE,1,1,3.52781252171508,0.489670394752503,2.57260156552745,4.47304976963001
"stemming",TRUE,TRUE,TRUE,1,1,3.7420876059389,0.497056594982566,2.77064961323022,4.71955266138181
"none",FALSE,TRUE,TRUE,1,1,3.81265238920227,0.498587524234358,2.83414959152362,4.80286486538829
"lemmatization",FALSE,TRUE,TRUE,1,1,3.78683621446531,0.47408620157416,2.85814451071875,4.72387734749796
"stemming",FALSE,TRUE,TRUE,1,1,3.91441184561649,0.504220668780094,2.93879803393887,4.91191840088104
"none",TRUE,FALSE,TRUE,1,1,2.96374749305922,0.465117059918214,2.06028631054339,3.86583128000211
"lemmatization",TRUE,FALSE,TRUE,1,1,3.31077907032665,0.478370783210526,2.36909369474291,4.27148256491957
"stemming",TRUE,FALSE,TRUE,1,1,3.31219535507573,0.475737142949961,2.39741789072622,4.24995211768273
"none",FALSE,FALSE,TRUE,1,1,3.63490669286788,0.501138631220163,2.67718053343443,4.60768484339346
"lemmatization",FALSE,FALSE,TRUE,1,1,3.82104550142881,0.495540747733907,2.84859275096383,4.81182992099239
"stemming",FALSE,FALSE,TRUE,1,1,3.01319642465599,0.479579460560891,2.0882062792377,3.97589131577193
"none",TRUE,TRUE,FALSE,1,1,1.30727480161677,0.184101935083169,0.946026018486136,1.67600831069
"lemmatization",TRUE,TRUE,FALSE,1,1,1.53549046159862,0.179108876292435,1.19266378149166,1.89798834950174
"stemming",TRUE,TRUE,FALSE,1,1,1.32764804402386,0.154345946423283,1.03130643237173,1.6374420180133
"none",FALSE,TRUE,FALSE,1,1,1.14995334293062,0.17847504936048,0.794997279848572,1.49875613578279
"lemmatization",FALSE,TRUE,FALSE,1,1,1.07348316120333,0.185458880951189,0.712067128691446,1.43097467229355
"stemming",FALSE,TRUE,FALSE,1,1,1.5595177284564,0.195460548136128,1.18399477551428,1.95118657526472
"none",TRUE,FALSE,FALSE,1,1,1.1706161019985,0.155354304883185,0.86731882963379,1.47380188364986
"lemmatization",TRUE,FALSE,FALSE,1,1,1.48385323124824,0.168154985742594,1.15309648122339,1.81958436385851
"stemming",TRUE,FALSE,FALSE,1,1,1.26477464716561,0.169239824032726,0.932774545648034,1.60381186291037
"none",FALSE,FALSE,FALSE,1,1,1.77420640909986,0.181965412254295,1.42552350764793,2.13385115282442
"lemmatization",FALSE,FALSE,FALSE,1,1,1.40770843844393,0.173266184303421,1.06853612118396,1.75551595565322
"stemming",FALSE,FALSE,FALSE,1,1,1.54592682509075,0.170066598396919,1.21963171672768,1.88012460365575
"none",TRUE,TRUE,TRUE,2,1,3.57697683965286,0.474490277809779,2.64715699226548,4.49907875985089
"lemmatization",TRUE,TRUE,TRUE,2,1,3.2246522326946,0.454004955404422,2.33613308422318,4.12279099923432
"stemming",TRUE,TRUE,TRUE,2,1,3.76354724332048,0.446473047981523,2.89362198706013,4.65467396376083
"none",FALSE,TRUE,TRUE,2,1,3.37044798849188,0.489915021127507,2.41927053828725,4.30770879900381
"lemmatization",FALSE,TRUE,TRUE,2,1,4.03194467464181,0.423715130896735,3.19677364447714,4.86941297204021
"stemming",FALSE,TRUE,TRUE,2,1,5.08726972441002,0.427370711341965,4.26489485447193,5.95559010957452
"none",TRUE,FALSE,TRUE,2,1,3.54874684056515,0.435267966257959,2.70570648095678,4.40171206620882
"lemmatization",TRUE,FALSE,TRUE,2,1,3.14542854608592,0.45142756852334,2.25955454103802,4.02902922871993
"stemming",TRUE,FALSE,TRUE,2,1,3.20358235847663,0.461299123235111,2.30538432860548,4.11139760356765
"none",FALSE,FALSE,TRUE,2,1,3.38943952311408,0.460822465523393,2.49452943621673,4.27335038277675
"lemmatization",FALSE,FALSE,TRUE,2,1,3.67377511802887,0.426600673023626,2.83207487084353,4.51859158056241
"stemming",FALSE,FALSE,TRUE,2,1,3.80447328694284,0.437923235786759,2.94125046161553,4.66739036472544
"none",TRUE,TRUE,FALSE,2,1,1.19800061928908,0.173549900150055,0.861953420131729,1.54219484646151
"lemmatization",TRUE,TRUE,FALSE,2,1,1.44804561044484,0.173499285878121,1.12296196591299,1.79239142434207
"stemming",TRUE,TRUE,FALSE,2,1,1.18161732061737,0.166127680575646,0.866201792750796,1.5078796613547
"none",FALSE,TRUE,FALSE,2,1,1.32711573410715,0.171174206899182,0.99112051986903,1.66652132442471
"lemmatization",FALSE,TRUE,FALSE,2,1,1.57017262117466,0.188484892743353,1.19471757923722,1.94001076394149
"stemming",FALSE,TRUE,FALSE,2,1,1.13333096797876,0.171805795005562,0.800121580105549,1.46660739901303
"none",TRUE,FALSE,FALSE,2,1,1.5697625107946,0.168692525057548,1.24220645618942,1.89770093819011
"lemmatization",TRUE,FALSE,FALSE,2,1,1.45754798293954,0.165427493319917,1.14062715572881,1.78791220501273
"stemming",TRUE,FALSE,FALSE,2,1,1.54374864458805,0.150111649710581,1.25419247873503,1.8411331980924
"none",FALSE,FALSE,FALSE,2,1,1.48519334234829,0.180100428779581,1.13575493677616,1.84423566553627
"lemmatization",FALSE,FALSE,FALSE,2,1,1.38368431338603,0.183371894586215,1.0296752320458,1.74152500409414
"stemming",FALSE,FALSE,FALSE,2,1,1.53229300683258,0.17843674237397,1.18951406224731,1.8922678788451
"none",TRUE,TRUE,TRUE,3,1,3.87096526740496,0.518842586662172,2.86592255822621,4.87017074369076
"lemmatization",TRUE,TRUE,TRUE,3,1,4.24191169321539,0.505201905444897,3.26075884826023,5.22465439346805
"stemming",TRUE,TRUE,TRUE,3,1,4.24438748845509,0.485806468518356,3.29720516303474,5.20478046882142
"none",FALSE,TRUE,TRUE,3,1,3.49779814601697,0.509859970818567,2.49108603590586,4.47832027520271
