"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","Estimate.sq","Q2.5","Q97.5"
"none",TRUE,TRUE,TRUE,1,1,-0.073928,-0.241312,0.093455,0.024572,0.006851,0.042293
"lemmatization",TRUE,TRUE,TRUE,1,1,0.601475,0.310487,0.892462,-0.062374,-0.095142,-0.029606
"stemming",TRUE,TRUE,TRUE,1,1,-0.120876,-0.380827,0.139075,0.028545,-0.000446,0.057537
"none",FALSE,TRUE,TRUE,1,1,-0.054202,-0.287109,0.178705,0.022274,-0.001235,0.045783
"lemmatization",FALSE,TRUE,TRUE,1,1,0.245571,-0.046603,0.537745,-0.022941,-0.069133,0.023251
"stemming",FALSE,TRUE,TRUE,1,1,-0.351961,-0.651838,-0.052085,0.013888,-0.035862,0.063638
"none",TRUE,FALSE,TRUE,1,1,-0.336213,-0.538422,-0.134004,0.031887,0.009868,0.053906
"lemmatization",TRUE,FALSE,TRUE,1,1,-0.10126,-0.289837,0.087316,0.006044,-0.018167,0.030256
"stemming",TRUE,FALSE,TRUE,1,1,0.006258,-0.198774,0.21129,0.006547,-0.022115,0.035209
"none",FALSE,FALSE,TRUE,1,1,0.099463,-0.059897,0.258823,-0.01158,-0.028913,0.005754
"lemmatization",FALSE,FALSE,TRUE,1,1,0.02468,-0.186838,0.236198,0.004528,-0.01742,0.026476
"stemming",FALSE,FALSE,TRUE,1,1,-0.22719,-0.428272,-0.026108,0.042217,0.02006,0.064374
"none",TRUE,TRUE,FALSE,1,1,0.800065,0.243662,1.356469,-0.122907,-0.187899,-0.057915
"lemmatization",TRUE,TRUE,FALSE,1,1,0.705601,0.238336,1.172867,-0.101663,-0.161154,-0.042172
"stemming",TRUE,TRUE,FALSE,1,1,-0.754917,-1.868278,0.358443,0.075306,-0.124221,0.274834
"none",FALSE,TRUE,FALSE,1,1,0.981422,0.504895,1.457948,-0.113842,-0.170365,-0.057319
"lemmatization",FALSE,TRUE,FALSE,1,1,1.069777,0.589026,1.550528,-0.126571,-0.189182,-0.063959
"stemming",FALSE,TRUE,FALSE,1,1,-1.581683,-2.501589,-0.661777,0.21751,0.068956,0.366064
"none",TRUE,FALSE,FALSE,1,1,-0.286305,-0.551505,-0.021104,0.040382,0.003957,0.076808
"lemmatization",TRUE,FALSE,FALSE,1,1,-0.124569,-0.420374,0.171236,0.012218,-0.034571,0.059008
"stemming",TRUE,FALSE,FALSE,1,1,0.650172,-0.467075,1.767418,-0.009157,-0.180046,0.161731
"none",FALSE,FALSE,FALSE,1,1,-0.267599,-0.432297,-0.102901,0.034625,0.00869,0.060559
"lemmatization",FALSE,FALSE,FALSE,1,1,-0.288351,-0.470111,-0.106591,0.040969,0.014054,0.067883
"stemming",FALSE,FALSE,FALSE,1,1,0.70849,0.304514,1.112466,-0.093112,-0.153994,-0.032231
"none",TRUE,TRUE,TRUE,2,1,0.439315,0.129844,0.748785,-0.042014,-0.076753,-0.007275
"lemmatization",TRUE,TRUE,TRUE,2,1,-0.15381,-0.379497,0.071876,0.018274,-0.022333,0.05888
"stemming",TRUE,TRUE,TRUE,2,1,0.237654,-0.135763,0.61107,0.004238,-0.040139,0.048614
"none",FALSE,TRUE,TRUE,2,1,0.04541,-0.178998,0.269818,0.002414,-0.021548,0.026377
"lemmatization",FALSE,TRUE,TRUE,2,1,-0.126074,-0.372232,0.120083,0.034387,0.002062,0.066711
"stemming",FALSE,TRUE,TRUE,2,1,0.047969,-0.334358,0.430297,-0.004749,-0.053109,0.043611
"none",TRUE,FALSE,TRUE,2,1,-0.125367,-0.344255,0.093521,0.015717,-0.019436,0.050871
"lemmatization",TRUE,FALSE,TRUE,2,1,-0.328929,-0.520951,-0.136906,0.044824,0.019834,0.069814
"stemming",TRUE,FALSE,TRUE,2,1,-0.096115,-0.356132,0.163902,0.015888,-0.023187,0.054963
"none",FALSE,FALSE,TRUE,2,1,-0.208507,-0.384069,-0.032946,0.023487,0.003723,0.043251
"lemmatization",FALSE,FALSE,TRUE,2,1,-0.070362,-0.222411,0.081687,0.017572,-0.009157,0.0443
"stemming",FALSE,FALSE,TRUE,2,1,-0.251045,-0.471757,-0.030334,0.03133,0.005961,0.0567
"none",TRUE,TRUE,FALSE,2,1,0.399559,0.070915,0.728204,-0.02784,-0.079165,0.023486
"lemmatization",TRUE,TRUE,FALSE,2,1,0.93515,0.36237,1.507931,-0.10382,-0.179237,-0.028404
"stemming",TRUE,TRUE,FALSE,2,1,-1.556515,-2.566495,-0.546536,0.171584,0.02439,0.318778
"none",FALSE,TRUE,FALSE,2,1,0.675574,0.201075,1.150072,-0.075596,-0.142348,-0.008844
"lemmatization",FALSE,TRUE,FALSE,2,1,0.745939,-0.019663,1.511541,-0.141354,-0.225012,-0.057697
"stemming",FALSE,TRUE,FALSE,2,1,-0.932866,-1.921722,0.05599,0.103027,-0.024047,0.230102
"none",TRUE,FALSE,FALSE,2,1,-0.288967,-0.616131,0.038198,0.03967,-0.004154,0.083493
"lemmatization",TRUE,FALSE,FALSE,2,1,-0.656598,-1.411438,0.098243,0.104907,0.005805,0.204008
"stemming",TRUE,FALSE,FALSE,2,1,-0.520874,-1.51279,0.471042,0.108854,-0.051263,0.268971
"none",FALSE,FALSE,FALSE,2,1,0.106542,-0.201277,0.41436,-0.011622,-0.060166,0.036923
"lemmatization",FALSE,FALSE,FALSE,2,1,-0.237645,-0.928588,0.453299,0.023294,-0.05564,0.102228
"stemming",FALSE,FALSE,FALSE,2,1,0.43279,-0.503816,1.369395,-0.022189,-0.124992,0.080614
"none",TRUE,TRUE,TRUE,3,1,0.217571,0.017137,0.418005,-0.047752,-0.073723,-0.02178
"lemmatization",TRUE,TRUE,TRUE,3,1,0.282681,-0.033662,0.599023,-0.032865,-0.069227,0.003496
"stemming",TRUE,TRUE,TRUE,3,1,-0.004133,-0.380766,0.3725,-0.007254,-0.052958,0.03845
"none",FALSE,TRUE,TRUE,3,1,0.458769,0.160664,0.756874,-0.075928,-0.108813,-0.043043
"lemmatization",FALSE,TRUE,TRUE,3,1,0.116374,-0.203618,0.436367,-0.005529,-0.037324,0.026267
"stemming",FALSE,TRUE,TRUE,3,1,-0.392419,-0.810837,0.026,0.038052,-0.016418,0.092523
"none",TRUE,FALSE,TRUE,3,1,-0.223283,-0.432514,-0.014053,0.021975,-0.002931,0.04688
"lemmatization",TRUE,FALSE,TRUE,3,1,-0.109174,-0.369875,0.151528,0.016566,-0.01827,0.051403
"stemming",TRUE,FALSE,TRUE,3,1,-0.279676,-0.528723,-0.03063,0.037142,0.005183,0.069102
"none",FALSE,FALSE,TRUE,3,1,0.044803,-0.170259,0.259866,0.000871,-0.019657,0.021399
"lemmatization",FALSE,FALSE,TRUE,3,1,-0.439277,-0.739237,-0.139317,0.059981,0.024792,0.095171
"stemming",FALSE,FALSE,TRUE,3,1,0.453497,0.255176,0.651817,-0.063028,-0.086935,-0.03912
"none",TRUE,TRUE,FALSE,3,1,0.644104,-0.241193,1.529401,-0.022324,-0.105056,0.060407
"lemmatization",TRUE,TRUE,FALSE,3,1,-0.900567,-1.611845,-0.189289,0.115725,0.01644,0.21501
"stemming",TRUE,TRUE,FALSE,3,1,0.483023,-0.347504,1.313549,-0.016339,-0.109828,0.077149
"none",FALSE,TRUE,FALSE,3,1,0.803869,0.117745,1.489994,-0.129624,-0.211125,-0.048123
"lemmatization",FALSE,TRUE,FALSE,3,1,1.813396,0.730655,2.896138,-0.233123,-0.360507,-0.105739
"stemming",FALSE,TRUE,FALSE,3,1,-0.703974,-1.717591,0.309644,0.074666,-0.029764,0.179096
