"i","LR","pred_multi100"
1,0,0.332359934637845
1,0.5,0.325694982188075
1,1,0.319756222343741
1,1.5,0.314526120081494
1,2,0.309988413552193
1,2.5,0.306128383267789
1,3,0.30293306901069
1,3.5,0.300391441727682
1,4,0.298494536793107
1,4.5,0.297235554041543
1,5,0.296609928923781
1,5.5,0.296615378061829
1,6,0.297251921386917
1,6.5,0.298521881948101
1,7,0.300429863382037
1,7.5,0.302982703937281
1,8,0.306189404850274
1,8.5,0.310061029778513
1,9,0.314610570918601
1,9.5,0.319852776391437
1,10,0.325803932493458
2,0,0.261002713693522
2,0.5,0.279827943973335
2,1,0.297105052170946
2,1.5,0.312561062970882
2,2,0.325971528558804
2,2.5,0.337158303833969
2,3,0.345985381350166
2,3.5,0.352353910877979
2,4,0.356197361115638
2,4.5,0.357477561253322
2,5,0.356182132021467
2,5.5,0.352323600962766
2,6,0.345940297598488
2,6.5,0.337098931672523
2,7,0.32589855851311
2,7.5,0.312475420560196
2,8,0.297007925996349
2,8.5,0.279720805754307
2,9,0.260887323295096
2,9.5,0.240828362197257
2,10,0.219907357471061
3,0,0.77690901406239
3,0.5,0.722639979525468
3,1,0.667215375468106
3,1.5,0.613350535171077
3,2,0.563327096683939
3,2.5,0.518782838902064
3,3,0.480699324340794
3,3.5,0.449521354548004
3,4,0.425329463652195
3,4.5,0.408007703898519
3,5,0.397377647725392
3,5.5,0.393290826752111
3,6,0.395682358687937
3,6.5,0.404590734731987
3,7,0.420146301465818
3,7.5,0.442526913866567
3,8,0.47187611224839
3,8.5,0.508179840553783
3,9,0.551105738629364
3,9.5,0.599827504834569
3,10,0.652884465256442
4,0,0.242789564919797
4,0.5,0.239842945304125
4,1,0.238493800280905
4,1.5,0.23872424774608
4,2,0.240537350413059
4,2.5,0.243957085845436
4,3,0.249028095231408
4,3.5,0.255815135269859
4,4,0.264402088497586
4,4.5,0.274890314037472
4,5,0.287396044249428
4,5.5,0.302046458504449
4,6,0.31897400502228
4,6.5,0.338308515820833
4,7,0.360166699076724
4,7.5,0.384638738267382
4,8,0.411772024084314
4,8.5,0.44155253196293
4,9,0.473885045519018
4,9.5,0.508574266895303
4,10,0.545309714029598
5,0,0.459354758501225
5,0.5,0.441489121089118
5,1,0.424617215365028
5,1.5,0.408753318206665
5,2,0.393901163571318
5,2.5,0.380055712113487
5,3,0.367204854473956
5,3.5,0.355331001695471
5,4,0.344412533093604
5,4.5,0.334425085956468
5,5,0.325342682511016
5,5.5,0.317138697815745
