"hash","LR","pred_multi100"
"755aa1b492e1e3593c2559d7a5087710",0,0.26346
"755aa1b492e1e3593c2559d7a5087710",0.5,0.302698
"755aa1b492e1e3593c2559d7a5087710",1,0.338842
"755aa1b492e1e3593c2559d7a5087710",1.5,0.370558
"755aa1b492e1e3593c2559d7a5087710",2,0.396888
"755aa1b492e1e3593c2559d7a5087710",2.5,0.417205
"755aa1b492e1e3593c2559d7a5087710",3,0.431141
"755aa1b492e1e3593c2559d7a5087710",3.5,0.438502
"755aa1b492e1e3593c2559d7a5087710",4,0.439205
"755aa1b492e1e3593c2559d7a5087710",4.5,0.433243
"755aa1b492e1e3593c2559d7a5087710",5,0.420681
"755aa1b492e1e3593c2559d7a5087710",5.5,0.401684
"755aa1b492e1e3593c2559d7a5087710",6,0.376578
"755aa1b492e1e3593c2559d7a5087710",6.5,0.34593
"755aa1b492e1e3593c2559d7a5087710",7,0.310621
"755aa1b492e1e3593c2559d7a5087710",7.5,0.271905
"755aa1b492e1e3593c2559d7a5087710",8,0.231391
"755aa1b492e1e3593c2559d7a5087710",8.5,0.190936
"755aa1b492e1e3593c2559d7a5087710",9,0.152434
"755aa1b492e1e3593c2559d7a5087710",9.5,0.117555
"755aa1b492e1e3593c2559d7a5087710",10,0.087499
"04849c132ad84ca1b3344976e2007a0a",0,0.368775
"04849c132ad84ca1b3344976e2007a0a",0.5,0.342414
"04849c132ad84ca1b3344976e2007a0a",1,0.320334
"04849c132ad84ca1b3344976e2007a0a",1.5,0.302275
"04849c132ad84ca1b3344976e2007a0a",2,0.287966
"04849c132ad84ca1b3344976e2007a0a",2.5,0.277159
"04849c132ad84ca1b3344976e2007a0a",3,0.269647
"04849c132ad84ca1b3344976e2007a0a",3.5,0.265278
"04849c132ad84ca1b3344976e2007a0a",4,0.263958
"04849c132ad84ca1b3344976e2007a0a",4.5,0.265661
"04849c132ad84ca1b3344976e2007a0a",5,0.270421
"04849c132ad84ca1b3344976e2007a0a",5.5,0.27834
