"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","anchor_variant"
"none",TRUE,TRUE,TRUE,1,1,-0.011831,-0.025393,0.001311,"max_gendered"
"none",TRUE,TRUE,TRUE,1,1,0.047724,0.007922,0.093032,"highest_overlap"
"none",TRUE,TRUE,TRUE,1,1,0.047724,0.007922,0.093032,"social_contacts"
"lemmatization",TRUE,TRUE,TRUE,1,1,-0.002117,-0.014648,0.006274,"max_gendered"
"lemmatization",TRUE,TRUE,TRUE,1,1,0.085072,0.03311,0.13896,"highest_overlap"
"lemmatization",TRUE,TRUE,TRUE,1,1,0.085072,0.03311,0.13896,"social_contacts"
"stemming",TRUE,TRUE,TRUE,1,1,0.034164,-0.011731,0.07652,"max_gendered"
"stemming",TRUE,TRUE,TRUE,1,1,0.005264,-0.019185,0.025252,"highest_overlap"
"stemming",TRUE,TRUE,TRUE,1,1,0.005264,-0.019185,0.025252,"social_contacts"
"none",FALSE,TRUE,TRUE,1,1,-0.003544,-0.011698,0.002256,"max_gendered"
"none",FALSE,TRUE,TRUE,1,1,0.005439,-0.017818,0.026437,"highest_overlap"
"none",FALSE,TRUE,TRUE,1,1,0.005439,-0.017818,0.026437,"social_contacts"
"lemmatization",FALSE,TRUE,TRUE,1,1,0.026499,-0.031672,0.07623,"max_gendered"
"lemmatization",FALSE,TRUE,TRUE,1,1,0.008505,-0.026679,0.041502,"highest_overlap"
"lemmatization",FALSE,TRUE,TRUE,1,1,0.008505,-0.026679,0.041502,"social_contacts"
"stemming",FALSE,TRUE,TRUE,1,1,-0.001679,-0.008204,0.003085,"max_gendered"
"stemming",FALSE,TRUE,TRUE,1,1,0.024839,-0.012368,0.064598,"highest_overlap"
"stemming",FALSE,TRUE,TRUE,1,1,0.024839,-0.012368,0.064598,"social_contacts"
"none",TRUE,FALSE,TRUE,1,1,-0.007679,-0.043269,0.024635,"max_gendered"
"none",TRUE,FALSE,TRUE,1,1,0.028731,-0.001628,0.052728,"highest_overlap"
"none",TRUE,FALSE,TRUE,1,1,0.028731,-0.001628,0.052728,"social_contacts"
"lemmatization",TRUE,FALSE,TRUE,1,1,-0.012159,-0.03648,0.014009,"max_gendered"
"lemmatization",TRUE,FALSE,TRUE,1,1,0.059354,0.003641,0.110908,"highest_overlap"
"lemmatization",TRUE,FALSE,TRUE,1,1,0.059354,0.003641,0.110908,"social_contacts"
"stemming",TRUE,FALSE,TRUE,1,1,-0.011904,-0.025821,-0.001285,"max_gendered"
"stemming",TRUE,FALSE,TRUE,1,1,-0.004881,-0.02185,0.007881,"highest_overlap"
"stemming",TRUE,FALSE,TRUE,1,1,-0.004881,-0.02185,0.007881,"social_contacts"
"none",FALSE,FALSE,TRUE,1,1,0.025124,-0.011255,0.054569,"max_gendered"
"none",FALSE,FALSE,TRUE,1,1,0.027488,-0.003648,0.062208,"highest_overlap"
"none",FALSE,FALSE,TRUE,1,1,0.027488,-0.003648,0.062208,"social_contacts"
"lemmatization",FALSE,FALSE,TRUE,1,1,-0.007493,-0.013982,-0.002565,"max_gendered"
"lemmatization",FALSE,FALSE,TRUE,1,1,0.028157,-0.012783,0.080427,"highest_overlap"
"lemmatization",FALSE,FALSE,TRUE,1,1,0.028157,-0.012783,0.080427,"social_contacts"
"stemming",FALSE,FALSE,TRUE,1,1,-0.012714,-0.024689,-0.001055,"max_gendered"
"stemming",FALSE,FALSE,TRUE,1,1,0.034172,-0.005994,0.067116,"highest_overlap"
"stemming",FALSE,FALSE,TRUE,1,1,0.034172,-0.005994,0.067116,"social_contacts"
"none",TRUE,TRUE,FALSE,1,1,-0.005194,-0.039923,0.027507,"max_gendered"
"none",TRUE,TRUE,FALSE,1,1,0.065513,0.036551,0.094092,"highest_overlap"
"none",TRUE,TRUE,FALSE,1,1,0.065513,0.036551,0.094092,"social_contacts"
"lemmatization",TRUE,TRUE,FALSE,1,1,-0.029434,-0.063639,0.004438,"max_gendered"
"lemmatization",TRUE,TRUE,FALSE,1,1,0.032091,0.006308,0.057287,"highest_overlap"
"lemmatization",TRUE,TRUE,FALSE,1,1,0.032091,0.006308,0.057287,"social_contacts"
"stemming",TRUE,TRUE,FALSE,1,1,0.022646,-0.005497,0.050607,"max_gendered"
"stemming",TRUE,TRUE,FALSE,1,1,0.017527,-0.012637,0.050437,"highest_overlap"
"stemming",TRUE,TRUE,FALSE,1,1,0.017527,-0.012637,0.050437,"social_contacts"
"none",FALSE,TRUE,FALSE,1,1,-0.044021,-0.063426,-0.025818,"max_gendered"
"none",FALSE,TRUE,FALSE,1,1,0.009403,-0.004105,0.022446,"highest_overlap"
"none",FALSE,TRUE,FALSE,1,1,0.009403,-0.004105,0.022446,"social_contacts"
"lemmatization",FALSE,TRUE,FALSE,1,1,-0.0172,-0.043426,0.009645,"max_gendered"
"lemmatization",FALSE,TRUE,FALSE,1,1,0.006741,-0.022974,0.035851,"highest_overlap"
"lemmatization",FALSE,TRUE,FALSE,1,1,0.006741,-0.022974,0.035851,"social_contacts"
"stemming",FALSE,TRUE,FALSE,1,1,0.041042,0.018377,0.065454,"max_gendered"
"stemming",FALSE,TRUE,FALSE,1,1,-0.007059,-0.036218,0.021863,"highest_overlap"
"stemming",FALSE,TRUE,FALSE,1,1,-0.007059,-0.036218,0.021863,"social_contacts"
"none",TRUE,FALSE,FALSE,1,1,0.018461,-0.022322,0.060004,"max_gendered"
"none",TRUE,FALSE,FALSE,1,1,-0.017545,-0.057648,0.023761,"highest_overlap"
"none",TRUE,FALSE,FALSE,1,1,-0.017545,-0.057648,0.023761,"social_contacts"
"lemmatization",TRUE,FALSE,FALSE,1,1,0.060219,0.025499,0.094864,"max_gendered"
"lemmatization",TRUE,FALSE,FALSE,1,1,0.072707,0.036329,0.110402,"highest_overlap"
"lemmatization",TRUE,FALSE,FALSE,1,1,0.072707,0.036329,0.110402,"social_contacts"
"stemming",TRUE,FALSE,FALSE,1,1,-0.00344,-0.042001,0.033039,"max_gendered"
"stemming",TRUE,FALSE,FALSE,1,1,-0.005647,-0.043061,0.028032,"highest_overlap"
"stemming",TRUE,FALSE,FALSE,1,1,-0.005647,-0.043061,0.028032,"social_contacts"
"none",FALSE,FALSE,FALSE,1,1,-0.001155,-0.032647,0.031099,"max_gendered"
"none",FALSE,FALSE,FALSE,1,1,0.047806,0.010338,0.086209,"highest_overlap"
"none",FALSE,FALSE,FALSE,1,1,0.047806,0.010338,0.086209,"social_contacts"
"lemmatization",FALSE,FALSE,FALSE,1,1,0.019987,-0.00743,0.048567,"max_gendered"
"lemmatization",FALSE,FALSE,FALSE,1,1,0.058704,0.035298,0.082414,"highest_overlap"
"lemmatization",FALSE,FALSE,FALSE,1,1,0.058704,0.035298,0.082414,"social_contacts"
"stemming",FALSE,FALSE,FALSE,1,1,-0.023702,-0.057712,0.010533,"max_gendered"
