"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"none",TRUE,TRUE,TRUE,1,1,-0.004678,-0.017,0.004751,0.125067
"lemmatization",TRUE,TRUE,TRUE,1,1,-0.000458,-0.029458,0.019912,0.15704
"stemming",TRUE,TRUE,TRUE,1,1,-0.006392,-0.014233,-0.000606,0.146838
"none",FALSE,TRUE,TRUE,1,1,-0.006401,-0.020453,0.004814,0.094556
"lemmatization",FALSE,TRUE,TRUE,1,1,-0.002122,-0.009497,0.006642,0.190252
"stemming",FALSE,TRUE,TRUE,1,1,-0.002008,-0.039131,0.037753,0.188292
"none",TRUE,FALSE,TRUE,1,1,-0.028335,-0.053276,-0.008551,0.166167
"lemmatization",TRUE,FALSE,TRUE,1,1,-0.013202,-0.024121,-0.004221,0.10642
"stemming",TRUE,FALSE,TRUE,1,1,0.04161,-0.003969,0.086279,0.118901
"none",FALSE,FALSE,TRUE,1,1,-0.00108,-0.012036,0.015517,0.155604
"lemmatization",FALSE,FALSE,TRUE,1,1,-0.006373,-0.010441,-0.002465,0.113133
"stemming",FALSE,FALSE,TRUE,1,1,-0.00589,-0.012553,-0.000642,0.09652
"none",TRUE,TRUE,FALSE,1,1,-0.003887,-0.037599,0.029142,0.176777
"lemmatization",TRUE,TRUE,FALSE,1,1,-0.024304,-0.058031,0.00977,0.24239
"stemming",TRUE,TRUE,FALSE,1,1,0.021534,-0.006041,0.049469,1
"none",FALSE,TRUE,FALSE,1,1,-0.041432,-0.058291,-0.024333,0.122155
"lemmatization",FALSE,TRUE,FALSE,1,1,-0.015365,-0.041858,0.011556,0.229753
"stemming",FALSE,TRUE,FALSE,1,1,0.039324,0.016668,0.065587,0.263499
"none",TRUE,FALSE,FALSE,1,1,0.018219,-0.019263,0.058666,0.167068
"lemmatization",TRUE,FALSE,FALSE,1,1,0.054103,0.017461,0.091298,0.23879
"stemming",TRUE,FALSE,FALSE,1,1,-0.003025,-0.040476,0.034606,0.216621
"none",FALSE,FALSE,FALSE,1,1,0.00101,-0.034512,0.037428,0.200423
"lemmatization",FALSE,FALSE,FALSE,1,1,0.018813,-0.010176,0.049371,0.16773
"stemming",FALSE,FALSE,FALSE,1,1,-0.021297,-0.053933,0.011192,0.192142
"none",TRUE,TRUE,TRUE,2,1,-0.01017,-0.029676,0.012859,0.062824
"lemmatization",TRUE,TRUE,TRUE,2,1,-0.012445,-0.059361,0.031769,0.222558
"stemming",TRUE,TRUE,TRUE,2,1,-0.007985,-0.032797,0.008502,0.117361
"none",FALSE,TRUE,TRUE,2,1,0.050063,0.008248,0.091208,0.153757
"lemmatization",FALSE,TRUE,TRUE,2,1,-0.005565,-0.012979,-0.000794,0.094994
"stemming",FALSE,TRUE,TRUE,2,1,-0.001744,-0.010186,0.007035,0.181228
"none",TRUE,FALSE,TRUE,2,1,-0.016881,-0.035177,-9.5e-05,0.132209
"lemmatization",TRUE,FALSE,TRUE,2,1,-0.018586,-0.03532,-0.006624,0.13798
"stemming",TRUE,FALSE,TRUE,2,1,0.053588,0.000792,0.099736,0.127052
"none",FALSE,FALSE,TRUE,2,1,0.020966,-0.008816,0.051287,0.137161
"lemmatization",FALSE,FALSE,TRUE,2,1,0.025041,-0.015108,0.066357,0.091731
"stemming",FALSE,FALSE,TRUE,2,1,-0.004815,-0.011868,0.0031,0.055886
"none",TRUE,TRUE,FALSE,2,1,0.016918,-0.017046,0.052557,0.246846
"lemmatization",TRUE,TRUE,FALSE,2,1,0.014069,-0.01729,0.046845,0.135619
"stemming",TRUE,TRUE,FALSE,2,1,0.041762,0.007537,0.076755,0.374437
"none",FALSE,TRUE,FALSE,2,1,0.018346,0.012281,0.023583,0.124668
"lemmatization",FALSE,TRUE,FALSE,2,1,0.047958,0.019339,0.077433,0.217641
"stemming",FALSE,TRUE,FALSE,2,1,0.050765,0.02592,0.076257,0.211081
"none",TRUE,FALSE,FALSE,2,1,-0.003496,-0.044824,0.038461,0.15478
"lemmatization",TRUE,FALSE,FALSE,2,1,-0.018359,-0.059971,0.021272,0.233583
"stemming",TRUE,FALSE,FALSE,2,1,0.046995,0.008644,0.086805,0.184033
"none",FALSE,FALSE,FALSE,2,1,0.059091,0.024117,0.094619,0.112529
"lemmatization",FALSE,FALSE,FALSE,2,1,0.044083,0.025055,0.063368,0.139077
"stemming",FALSE,FALSE,FALSE,2,1,-0.000604,-0.02738,0.026663,0.191326
"none",TRUE,TRUE,TRUE,3,1,-0.004394,-0.020183,0.006584,0.138915
"lemmatization",TRUE,TRUE,TRUE,3,1,-0.003601,-0.007873,0.000778,0.114341
"stemming",TRUE,TRUE,TRUE,3,1,-0.003183,-0.035421,0.031806,0.215075
"none",FALSE,TRUE,TRUE,3,1,-0.002061,-0.04042,0.032254,0.161677
"lemmatization",FALSE,TRUE,TRUE,3,1,0.010606,-0.024119,0.046552,0.211018
"stemming",FALSE,TRUE,TRUE,3,1,-0.00356,-0.008365,0.000253,0.131194
"none",TRUE,FALSE,TRUE,3,1,-0.005751,-0.016904,0.007424,0.166833
"lemmatization",TRUE,FALSE,TRUE,3,1,0.005569,-0.013884,0.028963,0.137242
"stemming",TRUE,FALSE,TRUE,3,1,-0.012977,-0.022449,-0.005517,0.156416
"none",FALSE,FALSE,TRUE,3,1,0.021389,-0.008561,0.05498,0.118387
"lemmatization",FALSE,FALSE,TRUE,3,1,0.009768,-0.027011,0.043919,0.09043
"stemming",FALSE,FALSE,TRUE,3,1,-0.012985,-0.027504,0.00044,0.108432
"none",TRUE,TRUE,FALSE,3,1,0.015121,-0.013872,0.043543,0.283038
"lemmatization",TRUE,TRUE,FALSE,3,1,-0.014156,-0.044115,0.013045,0.266485
"stemming",TRUE,TRUE,FALSE,3,1,-0.035005,-0.064358,-0.005215,0.380058
"none",FALSE,TRUE,FALSE,3,1,0.012538,-0.007554,0.032325,0.205546
"lemmatization",FALSE,TRUE,FALSE,3,1,0.029144,0.005368,0.054567,0.300782
"stemming",FALSE,TRUE,FALSE,3,1,0.020788,-0.002791,0.044392,0.229685
"none",TRUE,FALSE,FALSE,3,1,-0.00182,-0.037538,0.031128,0.183396
"lemmatization",TRUE,FALSE,FALSE,3,1,-0.05845,-0.091998,-0.026277,0.150281
"stemming",TRUE,FALSE,FALSE,3,1,0.01507,-0.016755,0.045985,0.308944
"none",FALSE,FALSE,FALSE,3,1,0.011494,-0.02138,0.044639,0.114086
"lemmatization",FALSE,FALSE,FALSE,3,1,0.034639,0.01147,0.058742,0.142857
"stemming",FALSE,FALSE,FALSE,3,1,0.028181,-0.000267,0.055895,0.185599
"none",TRUE,TRUE,TRUE,1,2,-0.005221,-0.017859,0.00449,0.102606
"lemmatization",TRUE,TRUE,TRUE,1,2,-0.016427,-0.049782,0.011182,0.12186
"stemming",TRUE,TRUE,TRUE,1,2,-0.002293,-0.012854,0.006711,0.183776
"none",FALSE,TRUE,TRUE,1,2,-0.008871,-0.023708,0.001323,0.163925
"lemmatization",FALSE,TRUE,TRUE,1,2,0.007316,-0.010968,0.026996,0.137323
"stemming",FALSE,TRUE,TRUE,1,2,-0.002756,-0.011536,0.003175,0.189506
"none",TRUE,FALSE,TRUE,1,2,-0.01005,-0.02318,-0.000192,0.126523
"lemmatization",TRUE,FALSE,TRUE,1,2,-0.003183,-0.020452,0.012057,0.164793
"stemming",TRUE,FALSE,TRUE,1,2,-0.013497,-0.026532,-0.001931,0.137906
"none",FALSE,FALSE,TRUE,1,2,-0.010188,-0.020641,-0.003247,0.073803
"lemmatization",FALSE,FALSE,TRUE,1,2,-0.016368,-0.028214,-0.005711,0.144695
"stemming",FALSE,FALSE,TRUE,1,2,-0.010403,-0.017389,-0.005179,0.103199
"none",TRUE,TRUE,FALSE,1,2,-0.003082,-0.033941,0.029264,0.176777
"lemmatization",TRUE,TRUE,FALSE,1,2,-0.026793,-0.062378,0.007529,0.242072
"stemming",TRUE,TRUE,FALSE,1,2,0.024113,-0.003606,0.050976,0.999931
"none",FALSE,TRUE,FALSE,1,2,0.021506,0.007785,0.035885,0.129112
"lemmatization",FALSE,TRUE,FALSE,1,2,-0.047297,-0.079424,-0.016094,0.225844
"stemming",FALSE,TRUE,FALSE,1,2,0.038851,0.015492,0.06242,0.272025
"none",TRUE,FALSE,FALSE,1,2,0.020327,-0.020384,0.060351,0.167068
"lemmatization",TRUE,FALSE,FALSE,1,2,0.056593,0.021087,0.092564,0.23879
"stemming",TRUE,FALSE,FALSE,1,2,-0.001606,-0.038594,0.036444,0.216621
"none",FALSE,FALSE,FALSE,1,2,0.003322,-0.028945,0.035075,0.202756
"lemmatization",FALSE,FALSE,FALSE,1,2,0.018541,-0.009601,0.046891,0.163206
"stemming",FALSE,FALSE,FALSE,1,2,-0.020217,-0.054093,0.012887,0.191045
"none",TRUE,TRUE,TRUE,2,2,0.010688,-0.027669,0.05076,0.083146
"lemmatization",TRUE,TRUE,TRUE,2,2,0.000324,-0.022072,0.02267,0.156461
"stemming",TRUE,TRUE,TRUE,2,2,-0.00945,-0.018813,-2.4e-05,0.119707
"none",FALSE,TRUE,TRUE,2,2,0.002756,-0.04436,0.047991,0.084763
