"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"none",TRUE,TRUE,TRUE,1,1,0.023815,-0.060966,0.077307,0.598754
"lemmatization",TRUE,TRUE,TRUE,1,1,0.03368,-0.035091,0.081051,0.544818
"none",FALSE,TRUE,TRUE,1,1,0.016755,-0.018955,0.065469,0.347481
"lemmatization",FALSE,TRUE,TRUE,1,1,-0.00328,-0.054079,0.054459,0.400748
"none",TRUE,FALSE,TRUE,1,1,0.053072,0.006469,0.112923,0.240469
"lemmatization",TRUE,FALSE,TRUE,1,1,-0.004194,-0.085851,0.043411,0.436541
"none",FALSE,FALSE,TRUE,1,1,0.030522,-0.003206,0.056646,0.355774
"lemmatization",FALSE,FALSE,TRUE,1,1,0.058922,0.007371,0.122891,0.496152
"none",TRUE,TRUE,FALSE,1,1,0.014279,-0.008257,0.036677,0.558219
"lemmatization",TRUE,TRUE,FALSE,1,1,0.028578,0.006991,0.050487,1
"none",FALSE,TRUE,FALSE,1,1,0.033139,0.008547,0.057095,0.680975
"lemmatization",FALSE,TRUE,FALSE,1,1,0.000374,-0.02276,0.025184,0.625764
"none",TRUE,FALSE,FALSE,1,1,0.018719,-0.013886,0.051686,0.353174
"lemmatization",TRUE,FALSE,FALSE,1,1,0.013295,-0.018045,0.043202,0.436496
"none",FALSE,FALSE,FALSE,1,1,0.015443,-0.010947,0.043784,0.302577
"lemmatization",FALSE,FALSE,FALSE,1,1,0.012679,-0.022003,0.046674,0.45062
"none",TRUE,TRUE,TRUE,2,1,-0.04051,-0.115166,0.017596,0.437699
"lemmatization",TRUE,TRUE,TRUE,2,1,0.002785,-0.063688,0.039528,0.467674
"none",FALSE,TRUE,TRUE,2,1,0.009716,-0.003715,0.089919,0.279512
"lemmatization",FALSE,TRUE,TRUE,2,1,-0.011326,-0.094935,0.038441,0.522142
"none",TRUE,FALSE,TRUE,2,1,0.040323,-0.003296,0.09104,0.535897
"lemmatization",TRUE,FALSE,TRUE,2,1,0.030442,-0.010133,0.067562,0.578618
"none",FALSE,FALSE,TRUE,2,1,-0.040737,-0.077987,-0.00019,0.391018
"lemmatization",FALSE,FALSE,TRUE,2,1,-0.005333,-0.016543,0.014287,0.190349
"none",TRUE,TRUE,FALSE,2,1,0.025015,-0.002065,0.051379,0.645022
"lemmatization",TRUE,TRUE,FALSE,2,1,0.014596,-0.004269,0.034401,0.661233
"none",FALSE,TRUE,FALSE,2,1,0.021805,-0.006054,0.049747,0.589492
"lemmatization",FALSE,TRUE,FALSE,2,1,0.011043,-0.014243,0.036985,0.667633
"none",TRUE,FALSE,FALSE,2,1,0.024214,-0.011097,0.060623,0.257018
